Unnamed: 0,gene_name,sampl_1
ENSG00000038210.12,PI4K2B,197521.0876
ENSG00000038219.11,BOD1L1,76187.73827
ENSG00000038274.15,MAT2B,328132.5407
ENSG00000038295.6,TLL1,107.093639
ENSG00000038358.13,EDC4,204749.8875
ENSG00000038382.16,TRIO,124447.2575
ENSG00000038427.14,VCAN,9478.115605
ENSG00000038532.13,CLEC16A,75632.87028
ENSG00000038945.13,MSR1,4588.754057
ENSG00000039068.17,CDH1,2116595.769
ENSG00000039123.14,SKIV2L2,242169.6021
ENSG00000039139.9,DNAH5,1491.321988
ENSG00000039319.15,ZFYVE16,67967.44848
ENSG00000039523.16,FAM65A,107443.6947
ENSG00000039537.12,C6,594.9470847
ENSG00000039560.12,RAI14,69793.39962
ENSG00000039600.9,SOX30,13228.70242
ENSG00000039650.8,PNKP,309814.7403
ENSG00000039987.5,BEST2,18114.4074
ENSG00000040199.17,PHLPP2,25824.55137
ENSG00000040275.15,SPDL1,52529.08245
ENSG00000040341.16,STAU2,73098.28794
ENSG00000040487.11,PQLC2,165250.429
ENSG00000040531.13,CTNS,107866.1126
ENSG00000040608.12,RTN4R,82389.39126
ENSG00000040633.11,PHF23,315942.1279
ENSG00000040731.9,CDH10,0
ENSG00000040933.14,INPP4A,35552.81423
ENSG00000041353.8,RAB27B,80154.79034
ENSG00000041357.14,PSMA4,431738.2852
ENSG00000041515.14,MYO16,43.73755851
ENSG00000041802.9,LSG1,343758.4004
ENSG00000041880.13,PARP3,354632.7584
ENSG00000041982.13,TNC,37452.27708
ENSG00000041988.14,THAP3,70130.26425
ENSG00000042062.10,FAM65C,1809.791606
ENSG00000042088.12,TDP1,84993.06852
ENSG00000042286.13,AIFM2,147934.085
ENSG00000042304.9,C2orf83,0
ENSG00000042317.15,SPATA7,38742.29272
ENSG00000042429.9,MED17,56119.1445
ENSG00000042445.12,RETSAT,929258.3244
ENSG00000042493.14,CAPG,2816055.254
ENSG00000042753.10,AP2S1,972673.8912
ENSG00000042781.11,USH2A,491.0503954
ENSG00000042813.6,ZPBP,152.394694
ENSG00000042832.10,TG,15051.75506
ENSG00000042980.11,ADAM28,22053.57056
ENSG00000043039.6,BARX2,60086.72958
ENSG00000043093.12,DCUN1D1,92890.10961
ENSG00000043143.19,JADE2,93385.06771
ENSG00000043355.9,ZIC2,25919.02252
ENSG00000043462.10,LCP2,8340.264557
ENSG00000043514.14,TRIT1,248806.5133
ENSG00000043591.5,ADRB1,8752.999976
ENSG00000044012.3,GUCA2B,0
ENSG00000044090.7,CUL7,283691.6587
ENSG00000044115.19,CTNNA1,1379530.083
ENSG00000044446.10,PHKA2,94215.26419
ENSG00000044459.13,CNTLN,7499.323059
ENSG00000044524.9,EPHA3,905.2573636
ENSG00000044574.7,HSPA5,5107194.607
ENSG00000046604.11,DSG2,1884538.046
ENSG00000046647.12,GEMIN8,154365.4516
ENSG00000046651.13,OFD1,251152.9087
ENSG00000046653.13,GPM6B,8233.019287
ENSG00000046774.9,MAGEC2,0
ENSG00000046889.17,PREX2,1670.17406
ENSG00000047056.13,WDR37,92220.47973
ENSG00000047188.14,YTHDC2,46288.32435
