gene_id,gene_name,CPT0019990006,CPT0017440009,CPT0077290006
ENSG00000011009.9,LYPLA2,401003.3638,298711.967,311236.2719
ENSG00000011021.20,CLCN6,98044.5929,139166.5797,110411.5409
ENSG00000011028.12,MRC2,142806.111,134166.2206,73505.1882
ENSG00000011052.20,NME2,4128.2003,3830.3115,3789.5315
ENSG00000011083.7,SLC6A7,1685.2718,947.2192,238.0024
ENSG00000011105.10,TSPAN9,629403.8909,314662.1978,344027.6521
ENSG00000011114.13,BTBD7,130793.4902,136105.5025,161698.3817
ENSG00000011132.10,APBA3,80835.9979,61920.1801,59720.8918
ENSG00000011143.15,MKS1,98827.1051,72123.013,80212.4734
ENSG00000011198.6,ABHD5,103545.844,107895.9613,115313.3682
ENSG00000011201.9,KAL1,58822.8674,61900.3869,37805.3413
ENSG00000011243.16,AKAP8L,185412.428,170850.7561,135852.7453
ENSG00000011258.14,MBTD1,165054.6337,155289.7147,206299.8181
ENSG00000011260.12,UTP18,289741.8771,251122.2435,260210.9389
ENSG00000011275.17,RNF216,241395.4179,227641.7971,242166.765
ENSG00000011295.14,TTC19,253702.7216,231854.5435,246202.4628
ENSG00000011304.15,PTBP1,390101.9709,412980.2525,359768.997
ENSG00000011332.18,DPF1,118.5902,495.1476,217.7226
ENSG00000011347.8,SYT7,1434.3179,2195.8501,1141.0962
ENSG00000011376.8,LARS2,100272.8186,110506.1368,94275.1466
ENSG00000011405.12,PIK3C2A,610422.5664,589722.6735,555519.1265
ENSG00000011422.10,PLAUR,255816.3823,111983.1129,111611.5426
ENSG00000011426.9,ANLN,33896.4403,50107.7465,30767.9872
ENSG00000011451.16,WIZ,42522.7383,67660.8409,40411.9427
ENSG00000011454.15,RABGAP1,249761.678,327958.2424,216667.515
ENSG00000011465.15,DCN,206123.7428,6058.7838,211746.9853
ENSG00000011478.10,QPCTL,64620.7699,42653.7793,56484.2994
ENSG00000011485.13,PPP5C,126281.1748,132572.4433,105113.8538
ENSG00000011523.12,CEP68,143843.0496,197140.274,200214.925
ENSG00000011566.13,MAP4K3,237000.5692,223097.965,235730.4031
ENSG00000011590.12,ZBTB32,10891.4609,31746.6446,16034.4458
ENSG00000011600.10,TYROBP,1435948.191,921727.8171,897583.711
ENSG00000011638.9,TMEM159,267259.1021,240411.7522,309475.9388
ENSG00000011677.11,GABRA3,543.0317,141.7069,498.4825
ENSG00000012048.18,BRCA1,54970.2357,48198.4122,35263.0503
ENSG00000012061.14,ERCC1,226018.9689,149822.983,135787.6951
ENSG00000012124.13,CD22,14510.4034,8103.7301,11198.9814
ENSG00000012171.16,SEMA3B,87733.7206,21117.5968,72745.3252
ENSG00000012174.10,MBTPS2,49481.8837,67691.058,66202.1153
ENSG00000012211.11,PRICKLE3,31544.8446,37763.9149,22249.4251
ENSG00000012223.11,LTF,22651.3704,22244.9148,8858.5988
ENSG00000012232.7,EXTL3,76945.4839,97935.8415,69684.4142
ENSG00000012504.12,NR1H4,520535.5725,200921.1462,449439.8991
ENSG00000012660.12,ELOVL5,527283.1916,556933.8656,301899.5656
ENSG00000012779.9,ALOX5,275307.3076,235440.6707,388748.702
ENSG00000012817.14,KDM5D,275803.9855,287010.8172,252073.2368
ENSG00000012822.14,CALCOCO1,344687.2534,259493.3776,318876.287
ENSG00000012963.12,UBR7,239312.0695,241434.6979,310917.8052
ENSG00000012983.10,MAP4K5,161581.4816,184101.3189,214225.3446
ENSG00000013016.13,EHD3,182459.0545,94330.0948,126914.0664
ENSG00000013275.6,PSMC4,497691.3216,415202.0712,429498.2319
ENSG00000013288.7,MAN2B2,110609.5511,143235.5365,150277.0568
ENSG00000013293.5,SLC7A14,653.1022,56.8101,399.682
ENSG00000013297.9,CLDN11,5001.5495,2462.6039,12127.7853
ENSG00000013306.14,SLC25A39,264598.0769,229683.3067,242150.0374
ENSG00000013364.17,MVP,872990.7188,1169002.979,1219161.59
ENSG00000013374.14,NUB1,352838.171,361162.1449,318484.216
ENSG00000013375.14,PGM3,195875.1176,188257.3277,275194.2696
ENSG00000013392.7,RWDD2A,69177.6165,45864.6292,57221.971
ENSG00000013441.14,CLK1,928279.1245,932294.8451,1053861.713
ENSG00000013503.8,POLR3B,61750.8788,65068.3817,68516.7442
ENSG00000013523.8,ANGEL1,137826.4398,162856.7633,87577.8552
ENSG00000013561.16,RNF14,323025.7214,279038.036,452856.0672
ENSG00000013563.12,DNASE1L1,121702.8335,104160.822,107290.3339
ENSG00000013573.15,DDX11,74433.973,64143.3086,46175.7076
ENSG00000013583.7,HEBP1,100219.3994,142416.06,87291.4635
ENSG00000013588.5,GPRC5A,11870.2607,4646.4083,8110.4256
ENSG00000013619.12,MAMLD1,11847.0774,25530.2666,7980.9702
ENSG00000013725.13,CD6,41082.6069,42882.8697,15435.7226
ENSG00000013810.17,TACC3,46040.9011,66899.5316,25054.1105
ENSG00000014123.9,UFL1,422880.268,320585.951,504920.7759
ENSG00000014138.7,POLA2,52290.6979,73675.4656,37688.9037
ENSG00000014164.6,ZC3H3,55229.7859,79945.5606,49998.5907
ENSG00000014216.14,CAPN1,176354.445,282889.0143,261509.2839
ENSG00000014257.14,ACPP,16019.4346,17571.6566,14331.3722
ENSG00000014641.16,MDH1,395953.4267,340669.4554,419912.3263
ENSG00000014824.12,SLC30A9,287098.2562,234710.2205,422583.7874
ENSG00000014914.18,MTMR11,283438.5849,422433.8792,614953.7739
ENSG00000014919.11,COX15,349552.9181,277386.9467,397936.6964
ENSG00000015133.17,CCDC88C,43794.1983,85305.962,37930.6238
ENSG00000015153.13,YAF2,64175.9088,72360.34,70481.1453
ENSG00000015171.17,ZMYND11,463226.7454,364465.9693,546886.3611
ENSG00000015285.9,WAS,88217.9596,95826.9605,66057.464
ENSG00000015413.8,DPEP1,58857.4817,169330.6944,67011.1568
ENSG00000015475.17,BID,147877.6579,103306.0889,99899.7183
ENSG00000015479.16,MATR3,72290.4581,105288.2566,87044.6607
ENSG00000015520.13,NPC1L1,3468.2892,2036.4027,2686.2959
ENSG00000015532.8,XYLT2,175908.7962,144960.9615,212088.5711
ENSG00000015568.11,RGPD5,361.4178,670.6761,331.7678
ENSG00000015592.15,STMN4,1555.2813,1262.6714,475.8964
ENSG00000015676.16,NUDCD3,242204.0365,246883.42,269611.7801
ENSG00000016082.13,ISL1,0,0,181.3096
ENSG00000016391.9,CHDH,124955.3659,46183.1361,145013.7057
